Dosya,BRISQUE,NIQE,BRISQUE_Durum,NIQE_Durum,Genel_Durum,Tarih
xl-42-koton_1548082636.jpg,22.69,4.82,İyi,İyi,Kaliteli,2025-11-15 19:08:23
xs-34-koton_1690798971.jpg,18.54,1.54,İyi,İyi,Kaliteli,2025-11-15 19:08:24
l-40-diger_1602996142.jpg,29.87,3.55,İyi,İyi,Kaliteli,2025-11-15 19:08:24
m-38-kinetix_1690905530.jpg,21.27,4.16,İyi,İyi,Kaliteli,2025-11-15 19:08:24
m-38-american-vintage_1690841615.jpg,18.35,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:24
m-38-diger_1689632647.jpg,30.57,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:24
m-38-lc-waikiki_1690134565.jpg,6.65,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:24
s-36-diger_1615188663.jpg,14.59,0.12,İyi,İyi,Kaliteli,2025-11-15 19:08:24
tek-ebat-diger_1690154903.jpg,31.07,2.72,İyi,İyi,Kaliteli,2025-11-15 19:08:24
s-36-addax_1690132316.jpg,21.93,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:24
m-38-diger_1690307629.jpg,22.84,4.19,İyi,İyi,Kaliteli,2025-11-15 19:08:24
tek-ebat-diger_1690659466.jpg,35.14,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:24
m-38-diger_1688179740.jpg,44.31,0.00,Kötü,İyi,Şüpheli,2025-11-15 19:08:24
xs-34-stradivarius_1690679554.jpg,10.16,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:25
s-36-diger_1682467500.jpg,33.38,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:25
s-36-zara_1690497668.jpg,18.96,3.08,İyi,İyi,Kaliteli,2025-11-15 19:08:25
m-38-diger_1690585011.jpg,28.21,6.45,İyi,Kötü,Şüpheli,2025-11-15 19:08:25
l-40-lc-waikiki_1689778417.jpg,21.17,3.17,İyi,İyi,Kaliteli,2025-11-15 19:08:25
s-36-diger_1690453207.jpg,34.39,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:25
s-36-diger_1690918924.jpg,15.24,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:25
l-40-diger_1691028824.jpg,28.52,7.16,İyi,Kötü,Şüpheli,2025-11-15 19:08:25
xl-42-lc-waikiki_1678090699.jpg,10.56,0.08,İyi,İyi,Kaliteli,2025-11-15 19:08:25
xl-42-fashion_1690638566.jpg,13.40,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:25
m-38-zara_1687276772.jpg,101.91,1.99,Kötü,İyi,Şüpheli,2025-11-15 19:08:25
s-36-mavi_1691099341.jpg,17.36,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:25
m-38-diger_1685401267.jpg,14.56,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:26
m-38-diger_1687085508.jpg,49.85,6.16,Kötü,Kötü,Kalitesiz,2025-11-15 19:08:26
m-38-diger_1610953635.jpg,6.76,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:26
s-36-diger_1690897180.jpg,20.94,1.40,İyi,İyi,Kaliteli,2025-11-15 19:08:26
s-36-joy-gryson_1691115515.jpg,35.61,7.30,İyi,Kötü,Şüpheli,2025-11-15 19:08:26
m-38-diger_1689617956.jpg,1.91,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:27
m-38-mango_1687930190.jpg,18.30,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:27
xs-34-diger_1655033412.jpg,28.65,0.33,İyi,İyi,Kaliteli,2025-11-15 19:08:27
xl-42-diger_1690742526.jpg,21.56,2.08,İyi,İyi,Kaliteli,2025-11-15 19:08:27
xl-42-diger_1685290452.jpg,36.68,4.99,İyi,İyi,Kaliteli,2025-11-15 19:08:27
m-38-mudo_1633085528.jpg,36.40,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:27
l-40-chanel_1687868318.jpg,13.00,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:27
m-38-arma-life_1689925358.jpg,7.77,3.28,İyi,İyi,Kaliteli,2025-11-15 19:08:27
m-38-diger_1687085508 (1).jpg,49.85,6.16,Kötü,Kötü,Kalitesiz,2025-11-15 19:08:28
tek-ebat-diger_1690301146.jpg,11.29,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:28
xxl-44-lc-waikiki_1612079292.jpg,6.87,1.09,İyi,İyi,Kaliteli,2025-11-15 19:08:28
m-38-zara_1689309695.jpg,11.42,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:28
m-38-diger_1690013015.jpg,19.80,7.49,İyi,Kötü,Şüpheli,2025-11-15 19:08:28
s-36-pull-bear_1690042860.jpg,12.73,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:28
xl-42-miorre_1689844220.jpg,38.47,3.70,İyi,İyi,Kaliteli,2025-11-15 19:08:28
tek-ebat-kadriye-basturk_1688355604.jpg,18.41,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:28
l-40-diger_1690953792.jpg,27.49,6.27,İyi,Kötü,Şüpheli,2025-11-15 19:08:28
m-38-diger_1535919457.jpg,8.26,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:29
s-36-pull-bear_607298433.jpg,27.51,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:29
m-38-diger_1691151506.jpg,28.63,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:29
l-40-balizza_1690711464.jpg,21.64,3.37,İyi,İyi,Kaliteli,2025-11-15 19:08:29
s-36-diger_1667872757.jpg,80.15,0.00,Kötü,İyi,Şüpheli,2025-11-15 19:08:29
kalitesiz1.jpg,35.63,8.23,İyi,Kötü,Şüpheli,2025-11-15 19:08:30
l-40-addax_1687702875.jpg,12.98,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:30
s-36-hermes_1691113376.jpg,93.69,0.43,Kötü,İyi,Şüpheli,2025-11-15 19:08:30
m-38-diger_1516119847.jpg,57.48,0.00,Kötü,İyi,Şüpheli,2025-11-15 19:08:30
kalitesiz.jpeg,66.29,9.30,Kötü,Kötü,Kalitesiz,2025-11-15 19:08:31
s-36-koton_1690969376.jpg,36.18,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:31
tek-ebat-diger_1691113949.jpg,75.39,0.73,Kötü,İyi,Şüpheli,2025-11-15 19:08:31
28-lc-waikiki_1690125527.jpg,25.59,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:31
m-38-diger_1689859921.jpg,46.57,0.00,Kötü,İyi,Şüpheli,2025-11-15 19:08:31
xs-34-diger_1688395818.jpg,4.97,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:32
xxxl-46-diger_1686131624.jpg,42.74,2.54,Kötü,İyi,Şüpheli,2025-11-15 19:08:32
s-36-h-m_1690587027.jpg,39.99,7.20,İyi,Kötü,Şüpheli,2025-11-15 19:08:32
m-38-manuka_1691118185.jpg,155.84,0.00,Kötü,İyi,Şüpheli,2025-11-15 19:08:32
m-38-shein_1689976645.jpg,60.10,3.80,Kötü,İyi,Şüpheli,2025-11-15 19:08:32
m-38-diger_1680482891.jpg,11.07,0.00,İyi,İyi,Kaliteli,2025-11-15 19:08:32
